University Name,Applicants for 2018,Source
Brigham Young University--Provo,11205,https://assessmentandplanning.byu.edu/https:/brightspotcdn.byu.edu/fa/bd/b9f464444ab486f0f8a3f4ff3373/byu-cds-2018-2019-0-1.pdf
Southern Methodist University,12603,https://www.smu.edu/-/media/Site/ir/commondatasets/2018/CDS_2018-19_Part_C_First_Time_Freshman.pdf?la=en
Syracuse University,#N/A,
University of Maryland--College Park,33461,https://irpa.umd.edu/InstitutionalData/cds.html
Worcester Polytechnic Institute,10584,https://www.wpi.edu/sites/default/files/inline-image/Offices/Institutional-Research/WPI%20CDS%202018-2019_2.pdf
Clemson University,28845,https://www.clemson.edu/institutional-effectiveness/documents/oir/CommonDataSet2018.pdf
American University,#N/A,
Rutgers University--New Brunswick,41348,https://oirap.rutgers.edu/CDS/2018/New%20Brunswick%20CDS_2018-2019.pdf
Stevens Institute of Technology,9625,https://www.stevens.edu/about-stevens/strategic-plan/annual-reports/year-7-report#:~:text=Year%207%20includes%3A-,Undergraduate%20Studies%20and%20Experience,to%2040%25%20in%20Fall%202019.
Texas A&M University--College Station,36423,https://dars.tamu.edu/Student/files/CDS_2018-2019.aspx
University of Minnesota--Twin Cities,43444,https://idr.umn.edu/sites/idr.umn.edu/files/cds_2018_2019_tc.pdf
Baylor University,34681,https://www.baylor.edu/ir/doc.php/329440.pdf
Colorado School of Mines,12661,https://ir.mines.edu/wp-content/uploads/sites/66/2019/01/CDS19.pdf
University of Massachusetts--Amherst,41612,https://www.umass.edu/uair/sites/default/files/publications/cds/common_data_set_2018.pdf
Miami University--Oxford,30126,https://www.miamioh.edu/oir/_files/documents/cds/cds2018-19.xlsx
Texas Christian University,20156,https://ir.tcu.edu/wp-content/uploads/2021/05/TCUCDS2018.pdf
University of Iowa,26706,https://provost.uiowa.edu/sites/provost.uiowa.edu/files/2021-01/cds_1819.pdf
Clark University,#N/A,
Florida State University,50314,https://ir.fsu.edu/commondataset.aspx
Michigan State University,33129,https://opb.msu.edu/functions/institution/documents/CDS_2018-20193.pdf
North Carolina State University--Raleigh,
University of California--Santa Cruz,56625,https://www.universityofcalifornia.edu/about-us/information-center/admissions-residency-and-ethnicity
Binghamton University--SUNY,30193,https://report.isa.ncsu.edu/ir/cds/pdfs/CDS_2018-2019.v6.pdf
University of Denver,20475,https://www.du.edu/ir/media/documents/cds_2018.pdf
University of Tulsa,#N/A,
Indiana University--Bloomington,44169,https://uirr.iu.edu/apps/cds/?campus=&section=C.+First-Time%2C+%28Freshman%29+Admission&year=2018
Marquette University,15574,https://www.marquette.edu/institutional-research-analysis/documents/mu-cds-1819-final.pdf
University of Colorado--Boulder,36604,https://www.colorado.edu/oda/sites/default/files/attached-files/cds201819.pdf
University of San Diego,13287,https://www.sandiego.edu/facts/documents/cds/CDS_2018-19.pdf
Drexel University,30242,https://drexel.edu/~/media/Files/institutionalresearch/Factbook/CDS_2018-2019.ashx?la=en
Saint Louis University,#N/A,
Yeshiva University,1508,https://www.yu.edu/sites/default/files/inline-files/CDS_2018-2019%20final.pdf
Rochester Institute of Technology,#N/A,
Stony Brook University--SUNY,37828,https://www.stonybrook.edu/commcms/irpe/fact_book/common_data_set/_files/CDS_2018-2019-Preliminary_v1.pdf
University at Buffalo--SUNY,31196,https://www.buffalo.edu/content/dam/www/provost/files/oia/Common-Data-Sets/CDS2018-2019.pdf
University of Oklahoma,15811,https://www.ou.edu/content/dam/irr/docs/Common%20Data%20Sets/Norman%20Campus%20Only/CDS%201819%20NC%20revised%20v2.pdf
University of Vermont,21263,https://www.uvm.edu/sites/default/files/UVM-Office-of-Institutional-Research/cds/cds1819.pdf
Auburn University,20742,https://auburn.edu/administration/ir/common-data-set/2018/section-c.html
Illinois Institute of Technology,4958,https://www.iit.edu/sites/default/files/2021-10/2018-19_CDS-Complete.pdf
Loyola University Chicago,25122,https://www.luc.edu/media/lucedu/oie/CDS%202018-19.pdf
University of New Hampshire,20096,https://www.unh.edu/institutional-research/sites/unh.edu.institutional-research/files/media/cds_2018-2019_2-20-19.pdf
University of Oregon,24474,https://ir.uoregon.edu/sites/ir1.uoregon.edu/files/CDS_2018-2019.pdf
University of South Carolina,30889,http://oiraa.dw.sc.edu/cds/cds2018/cdsc2018.htm
University of Tennessee,20457,https://oira.utk.edu/wp-content/uploads/sites/66/2020/02/2018-19-CDS_FULL.pdf
Howard University,20946,https://ira.howard.edu/sites/ira.howard.edu/files/2020-08/ADA_CDS_2018-2019.pdf
University of Alabama,37302,https://oira.ua.edu/d/sites/all/files/reports19/THE%20CDS%202018-19%20FINAL.pdf
University of San Francisco,18411,https://myusf.usfca.edu/sites/default/files/users/wongl/CDS_2018-2019.pdf
University of the Pacific,#N/A,
University of Utah,23096,https://www.obia.utah.edu/wp-content/uploads/sites/10/2020/10/cdsSubmission_2018_pdf.pdf
Arizona State University--Tempe,26869,https://uoia.asu.edu/sites/default/files/cds_2018-2019_tempe.pdf
Iowa State University,18855,https://www.ir.iastate.edu/sites/default/files/PDF's/CDS18-19.pdf
Temple University,#N/A,
University of Kansas,14752,https://aire.ku.edu/sites/air/files/files/CDS/KUCDS_2018_2019.pdf
University of St. Thomas,1216,https://www.stthom.edu/Public/getFile.asp?File_Content_ID=127514 
The Catholic University of America,#N/A,
DePaul University,#N/A,
Duquesne University,7505,https://www.duq.edu/assets/Documents/institutional-research/_pdf/cds/CDS_2018-2019(0).pdf
University of Missouri,18948,https://mailmissouri.sharepoint.com/sites/IRQI-Website-Ogrp/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FIRQI%2DWebsite%2DOgrp%2FShared%20Documents%2FGeneral%2FCommon%20Data%20Set%2FCDS%5F1819%2Epdf&parent=%2Fsites%2FIRQI%2DWebsite%2DOgrp%2FShared%20Documents%2FGeneral%2FCommon%20Data%20Set&p=true&ga=1
Clarkson University,6885,https://drive.google.com/file/d/1Yol5aGevDhx8LVkHlQED_Si7QjbE8_ti/view
Colorado State University,#N/A,
Michigan Technological University,5838,https://www.mtu.edu/institutional-research/cds/files/cds-2018-2019.pdf
University of Arizona,39941,https://uair.arizona.edu/sites/default/files/2018-2019%20CDS%20Final%20190514_0.pdf
University of California--Riverside,49079,https://www.universityofcalifornia.edu/about-us/information-center/admissions-residency-and-ethnicity
University of Dayton,#N/A,
University of Nebraska--Lincoln,14956,https://iea.unl.edu/CDS_2018-2019.pdf
Hofstra University,27620,https://issuu.com/hofstra/docs/cds2018-2019_web
Louisiana State University--Baton Rouge,24280,https://www.lsu.edu/bgtplan/cds/2018/3_1819_admissions.pdf
Mercer University,#N/A,
The New School,#N/A,
Rutgers University--Newark,13259,https://oirap.rutgers.edu/CDS/2018/Newark%20CDS__2018-2019.pdf
University of Arkansas,18732,https://oir.uark.edu/datasets/cds/cds18-19v3.pdf
University of Cincinnati,23296,https://www.uc.edu/content/dam/refresh/provost-62/offices/ir/CDS_2018-2019.pdf
George Mason University,19557,https://oiep.gmu.edu/resources/student-consumer-information/common-data-set/
New Jersey Institute of Technology,8123,https://www.njit.edu/oie/sites/njit.edu.oie/files/CDS_2018-2019.xlsx
San Diego State University,69043,https://asir.sdsu.edu/Documents/CommonDataSets/CDS_2018-2019.pdf
University of South Florida,35055,https://www.usf.edu/ods/documents/cds/cds2018-2019-tampa.pdf
cKansas State University,22773,https://s3.wp.wsu.edu/uploads/sites/2433/2020/05/CDS_2018-2019.pdf
Oregon State University,14890,https://institutionalresearch.oregonstate.edu/sites/institutionalresearch.oregonstate.edu/files/cds-2018-19.pdf
St. John Fisher College,#N/A,
University of Illinois--Chicago,21106,https://oir.uic.edu/wp-content/uploads/sites/213/2020/02/UICCDS_2018-2019Forsubmissionv4WEB.pdf
University of Mississippi,#N/A,
University of Texas--Dallas,13123,https://cpb-us-e2.wpmucdn.com/sites.utdallas.edu/dist/8/621/files/CDS_2018-2019_Final.pdf
